State_ID,plant_id,plant_name,plant_group,min_height(ft),max_height(ft),water_necessity (1Lcup/day),maintenance,sunlight,indoor,outdoor,potted,shortest_growth_period(year),longest_growth_period(year),min_area_square_feet,Co2_absorption(kg)_per_year,O2_release(kg)_per_year,lifetime(year),lowest_temp,highest_temp,Uses,description,Current_Market_Price_MMK_per_kg,Price_Unit
YGN,79.0,Kiss me(quick),flower,1.0,3.0,2.0,low,full sun,yes,yes,yes,0.2,0.5,2.0,1,1.0,1.0,5.0,32.0,"Ornamental, Ground cover","Portulaca/Succulent, extremely drought tolerant.","5,000",MMK/kg
BGO,80.0,Cinderella-flower,flower,1.0,3.0,2.0,low,full sun,no,yes,yes,0.5,1.0,2.0,2,2.0,1.0,10.0,35.0,Ornamental,"Small, vibrant weed/flower often found in plains.","6,000",MMK/kg
YGN,80.0,Cinderella-flower,flower,1.0,3.0,2.0,low,full sun,no,yes,yes,0.5,1.0,2.0,2,2.0,1.0,10.0,35.0,Ornamental,"Small, vibrant weed/flower often found in plains.","6,000",MMK/kg
MDY,81.0,Gold-chain(shwe chein),flower,15.0,30.0,2.0,medium,full sun,no,yes,no,3.0,7.0,25.0,20,14.0,40.0,15.0,38.0,Ornamental,"Pendulous yellow flowers, distinct from Golden Shower.","5,000",MMK/kg
AYY,82.0,Water- bamboo(ye wa),vegetable,2.0,4.0,4.0,low,Partial Sun,yes,yes,yes,0.5,1.0,3.0,20,14.0,1.0,5.0,32.0,"Fodder, Soil retention","Thrives in riverbanks, distinct segmented stems.","5,000",MMK/kg
YGN,83.0,Singapore- almond(sin ga pu ban da),tree,20.0,50.0,13.0,low,full sun,no,yes,no,3.0,6.0,40.0,20,14.0,50.0,15.0,35.0,"Shade, Ornamental","Melastoma or Terminalia variant, common street tree.","8,000",MMK/kg
TNY,84.0,Black pepper(Nga-yok-kaung),fruit,10.0,20.0,2.0,high,Partial Sun,no,yes,yes,3.0,4.0,10.0,10,7.0,20.0,18.0,32.0,"Spice, Medicinal",Fruits used as spicy flavouring; piperine has anticancer properties.,"24,496",MMK/kg
BGO,85.0,Taro(Pein-U),fruit,2.0,5.0,4.0,medium,partial sun,no,yes,no,0.5,1.0,4.0,15,8.0,1.0,10.0,35.0,"Food (Corms), Baby food",Starch easily digestible; corms must be cooked to remove oxalate.,"1,837",MMK/kg
KCH,85.0,Taro(Pein-U),fruit,2.0,5.0,4.0,medium,partial sun,no,yes,no,0.5,1.0,4.0,15,8.0,1.0,10.0,35.0,"Food (Corms), Baby food",Starch easily digestible; corms must be cooked to remove oxalate.,"1,837",MMK/kg
SAG,85.0,Taro(Pein-U),fruit,2.0,5.0,4.0,medium,partial sun,no,yes,no,0.5,1.0,4.0,15,8.0,1.0,10.0,35.0,"Food (Corms), Baby food",Starch easily digestible; corms must be cooked to remove oxalate.,"1,837",MMK/kg
MDY,86.0,Aloe vera(sharr-saung-let-pet),fruit,1.0,3.0,2.0,low,full sun,yes,yes,yes,1.0,2.0,3.0,5,3.0,1.0,5.0,35.0,"Salads, Gel, Medicine",Regulates immune system; gel reduces alanine aminotransferase.,"3,062",MMK/kg
YGN,86.0,Aloe vera(sharr-saung-let-pet),fruit,1.0,3.0,2.0,low,full sun,yes,yes,yes,1.0,2.0,3.0,5,3.0,1.0,5.0,35.0,"Salads, Gel, Medicine",Regulates immune system; gel reduces alanine aminotransferase.,"3,062",MMK/kg
MON,87.0,Lemon grass(Sa-ba-lin),vegetable,2.0,5.0,2.0,low,full sun,no,yes,yes,0.3,0.6,3.0,15,10.0,1.0,10.0,35.0,"Flavoring, Oil",Citronella oil has a broad spectrum of antibacterial and antioxidant activities,"6,124",MMK/kg
SHN_S,88.0,Cassod tree(Mel-za-li),vegetable,32.0,50.0,2.0,low,full sun,no,yes,no,3.0,5.0,30.0,30,21.0,40.0,12.0,36.0,"Salad (Buds), Fuel",Fresh buds blanched for salads; antimicrobial properties.,"9,186",MMK/kg
KCH,89.0,Docynia(Pin-sein),vegetable,6.5,10.0,2.0,medium,full sun,no,yes,no,4.0,8.0,35.0,30,18.0,50.0,5.0,30.0,Sour flavoring,Fruits used as sour flavouring; antioxidant activity.,"6,124",MMK/kg
CHN,89.0,Docynia(Pin-sein),vegetable,6.5,10.0,2.0,medium,full sun,no,yes,no,4.0,8.0,35.0,30,18.0,50.0,5.0,30.0,Sour flavoring,Fruits used as sour flavouring; antioxidant activity.,"6,124",MMK/kg
SHN_S,89.0,Docynia(Pin-sein),vegetable,6.5,10.0,2.0,medium,full sun,no,yes,no,4.0,8.0,35.0,30,18.0,50.0,5.0,30.0,Sour flavoring,Fruits used as sour flavouring; antioxidant activity.,"6,124",MMK/kg
BGO,90.0,Jackfruit,fruit,30.0,70.0,20.0,low,full sun,no,yes,no,3.0,6.0,60.0,50,35.0,80.0,10.0,38.0,"Fruit, Timber",Largest tree-borne fruit; antibacterial activities.,"4,000",MMK/kg
YGN,90.0,Jackfruit,fruit,30.0,70.0,20.0,low,full sun,no,yes,no,3.0,6.0,60.0,50,35.0,80.0,10.0,38.0,"Fruit, Timber",Largest tree-borne fruit; antibacterial activities.,"4,000",MMK/kg
MON,90.0,Jackfruit,fruit,30.0,70.0,20.0,low,full sun,no,yes,no,3.0,6.0,60.0,50,35.0,80.0,10.0,38.0,"Fruit, Timber",Largest tree-borne fruit; antibacterial activities.,"4,000",MMK/kg
SAG,91.0,Indian gooseberry(zee-phyu),fruit,10.0,75.0,13.0,low,full sun,no,yes,no,3.0,5.0,25.0,20,14.0,35.0,5.0,40.0,"Sour flavoring, Vitamin C",High Vitamin C (610mg/100g); used in salads.,"2,756",MMK/kg
MDY,91.0,Indian gooseberry(zee-phyu),fruit,10.0,75.0,13.0,low,full sun,no,yes,no,3.0,5.0,25.0,20,14.0,35.0,5.0,40.0,"Sour flavoring, Vitamin C",High Vitamin C (610mg/100g); used in salads.,"2,756",MMK/kg
MAG,91.0,Indian gooseberry(zee-phyu),fruit,10.0,75.0,13.0,low,full sun,no,yes,no,3.0,5.0,25.0,20,14.0,35.0,5.0,40.0,"Sour flavoring, Vitamin C",High Vitamin C (610mg/100g); used in salads.,"2,756",MMK/kg
BGO,92.0,Mango tree,fruit,32.0,64.0,20.0,medium,full sun,no,yes,no,4.0,8.0,60.0,45,28.0,75.0,5.0,45.0,"Salads, Pickles, Fruit","Antioxidant, antiviral, antidiarrhoeal activities.","12,000",MMK/kg
MAG,92.0,Mango tree,fruit,32.0,64.0,20.0,medium,full sun,no,yes,no,4.0,8.0,60.0,45,28.0,75.0,5.0,45.0,"Salads, Pickles, Fruit","Antioxidant, antiviral, antidiarrhoeal activities.","12,000",MMK/kg
MDY,92.0,Mango tree,fruit,32.0,64.0,20.0,medium,full sun,no,yes,no,4.0,8.0,60.0,45,28.0,75.0,5.0,45.0,"Salads, Pickles, Fruit","Antioxidant, antiviral, antidiarrhoeal activities.","12,000",MMK/kg
YGN,92.0,Mango tree,fruit,32.0,64.0,20.0,medium,full sun,no,yes,no,4.0,8.0,60.0,45,28.0,75.0,5.0,45.0,"Salads, Pickles, Fruit","Antioxidant, antiviral, antidiarrhoeal activities.","12,000",MMK/kg
MDY,93.0,Peace Lily,flower,1.0,3.0,0.5,medium,Partial Sun,yes,yes,yes,0.5,1.0,2.0,0.18,0.22,5.0,18.0,30.0,"Air purification, décor","Popular indoor flowering plant with white blooms, thrives in low light and removes toxins from air.","15,000",MMK/kg
MAG,93.0,Peace Lily,flower,1.0,3.0,0.5,medium,Partial Sun,yes,yes,yes,0.5,1.0,2.0,0.18,0.22,5.0,18.0,30.0,"Air purification, décor","Popular indoor flowering plant with white blooms, thrives in low light and removes toxins from air.","15,000",MMK/kg
SAG,93.0,Peace Lily,flower,1.0,3.0,0.5,medium,Partial Sun,yes,yes,yes,0.5,1.0,2.0,0.18,0.22,5.0,18.0,30.0,"Air purification, décor","Popular indoor flowering plant with white blooms, thrives in low light and removes toxins from air.","15,000",MMK/kg
MDY,94.0,Jasmine,flower,2.0,4.0,1.0,low,full sun,yes,yes,yes,1.0,2.0,2.0,0.3,0.4,10.0,15.0,32.0,"Aromatherapy, décor","Fragrant indoor-flowering plant, can be grown in pots with support trellis; loves sunlight.","20,000",MMK/kg
YGN,94.0,Jasmine,flower,2.0,4.0,1.0,low,full sun,yes,yes,yes,1.0,2.0,2.0,0.3,0.4,10.0,15.0,32.0,"Aromatherapy, décor","Fragrant indoor-flowering plant, can be grown in pots with support trellis; loves sunlight.","20,000",MMK/kg
MAG,103.0,coleus,vegetable,1.0,2.5,0.2,medium,partial sun,yes,yes,yes,0.1,0.3,1.0,1,1.0,2.0,20.0,38.0,Colorful foliage,"vibrant multi-colored leaves, fast growing","5,000",MMK/kg
MDY,103.0,coleus,vegetable,1.0,2.5,0.2,medium,partial sun,yes,yes,yes,0.1,0.3,1.0,1,1.0,2.0,20.0,38.0,Colorful foliage,"vibrant multi-colored leaves, fast growing","5,000",MMK/kg
SHN_S,103.0,coleus,vegetable,1.0,2.5,0.2,medium,partial sun,yes,yes,yes,0.1,0.3,1.0,1,1.0,2.0,20.0,38.0,Colorful foliage,"vibrant multi-colored leaves, fast growing","5,000",MMK/kg
YGN,103.0,coleus,vegetable,1.0,2.5,0.2,medium,partial sun,yes,yes,yes,0.1,0.3,1.0,1,1.0,2.0,20.0,38.0,Colorful foliage,"vibrant multi-colored leaves, fast growing","5,000",MMK/kg
YGN,104.0,watercress,vegetable,0.3,1.0,0.6,low,Partial Sun,yes,yes,yes,0.05,0.1,0.5,1,0.9,0.5,10.0,32.0,"Cooking, soups",Loves humidity and shallow water trays; perfect for Yangon homes,"2,500",MMK/kg
